feature,mean_abs_shap
rms_std,0.40063208
mfcc_mean_3,0.2772692
spec_bw_mean,0.24939367
spec_cent_mean,0.24513109
mfcc_mean_8,0.21475144
mfcc_std_4,0.18081392
mfcc_std_19,0.17650056
mfcc_std_3,0.17220594
mfcc_mean_2,0.16043659
spec_roll_std,0.14461258
spec_cent_std,0.1366637
chroma_mean_9,0.12358515
mfcc_mean_10,0.115897454
chroma_mean_4,0.111234985
chroma_std_10,0.11116685
chroma_mean_10,0.110236295
tempo,0.10992761
mfcc_mean_16,0.10814336
chroma_std_0,0.106554836
mfcc_std_18,0.104906
chroma_mean_6,0.10193694
chroma_mean_8,0.09207713
chroma_mean_1,0.090888895
mfcc_mean_12,0.088331155
mfcc_mean_1,0.086111575
chroma_mean_0,0.08589323
chroma_std_1,0.0824824
mfcc_mean_19,0.08231263
zcr_std,0.08006004
spec_bw_std,0.07672645
mfcc_mean_17,0.07442109
chroma_mean_11,0.07333332
mfcc_std_8,0.07319151
mfcc_std_7,0.06950133
zcr_mean,0.06774933
mfcc_std_0,0.0664409
spec_roll_mean,0.064612895
chroma_std_8,0.06451728
chroma_std_5,0.061918672
mfcc_std_2,0.059380244
mfcc_mean_6,0.05840339
mfcc_std_12,0.05630432
chroma_std_9,0.055704605
chroma_mean_7,0.05349601
mfcc_mean_14,0.053308535
mfcc_mean_9,0.050237745
chroma_mean_3,0.049641833
mfcc_std_10,0.048543043
chroma_std_2,0.047924083
mfcc_std_14,0.046586454
mfcc_mean_4,0.04642512
mfcc_mean_11,0.046008673
chroma_mean_5,0.04351952
mfcc_mean_5,0.04165161
mfcc_std_15,0.03884826
mfcc_std_1,0.037542317
mfcc_mean_18,0.034935396
mfcc_mean_0,0.034587935
rms_mean,0.034550328
chroma_std_7,0.032756425
mfcc_mean_7,0.02922725
mfcc_mean_15,0.027893744
mfcc_std_11,0.024449589
chroma_mean_2,0.01930184
chroma_std_6,0.018852094
mfcc_std_13,0.018573957
mfcc_mean_13,0.01787162
mfcc_std_6,0.017116264
mfcc_std_16,0.016764462
chroma_std_3,0.013721952
mfcc_std_5,0.011264158
chroma_std_4,0.011252601
mfcc_std_9,0.011013504
chroma_std_11,0.009140761
mfcc_std_17,0.008647048
